question_title,question_detail,question_time,question_follower_num,ans,ans_time,ans_upvote_num,ans_collect_num,ans_comment_num,author_follower_num,author_followee_num,author_upvote_num,author_thank_num,author_answer_num,author_question_num,author_post_num,author_name
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,不知道，我是金牛男白羊女,1434245231,1,0,3,2,5,61,19,72,0,0,羅芬
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,我是牛女 男票是從大學開始談了三年多的羊男～還沒在一起之前，覺得自己根本不會喜歡這樣的男生…我覺得自己是很喜歡那種穿白襯衫 乾乾凈凈的男生…而羊男 永遠都是有點荷爾蒙過剩的感覺…過於熱情 而且穿襯衫不帥… 的確沒有心動的感覺  <br><br>經過一些事情之後，我們在一起了～在一起之後，感覺很神奇！我們兩個人其實生活上不太合拍，我愛吃辣 他要清淡…我愛吃蔬菜 他愛吃肉…而且我是急性子 他卻很慢！！像老爺爺一樣～特別是擠地鐵的時候，我在找機會往前鑽的時候，他總是拉著我說不要急！！！真是讓我崩潰！<br><br>但是雖然如此，我覺得他是特別適合我的人，我有時候很憂郁很消極，他總是很陽光地開導我，我有難題的時候我知道我可以找他，即便他不能幫我解決問題，但是跟他聊完之後，我自己也會想明白很多。那時候感覺他特別成熟，腦子特好（他是真的聰明），一點都沒有平時那個讓你操心的樣子，真是崇拜到不行…而且他從不讓我心裡憋話，所以金牛女最擅長的冷戰基本是沒機會發揮…所以在一起之後就一直很歡樂很歡樂～我可以從他對我的言行直接地感受到他的感情，以前也許會懷疑會擔憂這樣的好會持續多久，現在在一起這麼久，也建立了彼此的信任，也算是治好了我的缺安全感病…<br><br>他有很多很多值得我學習的地方，跟他在一起之後學渣的我都能努力學習拿到獎學金！！！真是好神奇～我問過他，喜歡我什麼，他說喜歡我關心他照顧他 很溫暖的感覺…我的確是比較喜歡照顧人，而且喜歡做飯，他說，每次他上完班回來有飯吃 有湯喝 就覺得很滿足～<br><br>我覺得牛女和羊男 性格互補，但是可以相互吸引幫助～他即是我男友，也是我最好的朋友～真的挺好的～不過情況因人而異啦（他太陽白羊 月亮金牛，我太陽金牛 月亮白羊 -_-#）<br><br>這是我第一次寫知乎答案哈哈哈～,1458999119,18,6,6,12,13,18,8,1,1,0,Rachel Chan
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,"我是牛女 怎麼說呢 他追的我 在一起之前感覺牛女和羊男完全不可能在一起嘛（其實聽到他是白羊座的時候我的內心是拒絕的的）但是介於之前聊得也很開心 興趣愛好什麼的很合得來 我也單身很久了（他也是）是抱著試一試的想法在一起的  怎麼說 白羊真的很溫柔-v- 占有欲很強 比如我和其他男性朋友偶爾聊聊天什麼的他會很不爽（只是偶爾 我朋友不多） 恩...然而我就是喜歡他占有欲強→_→ <br>白羊傻 很傻很傻（智商低）傻白甜 很蠢萌 所以有的時候很治愈 白羊記性極差 才答應過的事情 幾個小時之後就忘了→_→ 不過這也有好處 一般吵完架他都不會記太久...<br>  還有如果可以儘量不要讓牛女不開心吧 因為她不開心了也不會說 就只會憋著 憋急了就開始冷戰...然後就=_=（冷戰什麼的最討厭 了...我也不想 但是控制不住 其實我冷戰的時候內心os：媽蛋你快來找我啊！！老子不開心了你快來找我啊！！十分鐘之後 媽的怎麼還不來找我！！去看會視頻 一個小時之後 媽的居然還不理我 老子不理你了 去釣會魚 媽蛋媽蛋媽蛋 你tm倒是理我啊(╯‵□′)╯︵┻━┻ 恩...儘管這樣 金牛冷戰的時候依然不會主動去找他和解的）<br> 某些方面金牛和白羊還是很合得來的 比如兩隻性欲都很強→_→ 所以那方面還是很和諧的 <br>暫時就想到這麼多<br>我前來跟新啦！<br>前兩天跟羊男吵架了 原因不想說（其實還是我不太好） 然後我兩天沒理他（其實那兩天我滿腦子想的都是分手。。。不過還是沒說出口）然後他昨天來找我，寫了一段話<b>1658個字</b>。我承認我被嚇到了...現在和好了<br>[這次確實是我有點無理取鬧了 QAQ 但是真的不開心嘛 ]<img src=""https://pic1.zhimg.com/50/dc69ea3296337f31142dc078331112d0_b.png"" data-rawwidth=""203"" data-rawheight=""27"" class=""content_image"" width=""203"">（圖刪，隱私）<br>看到有羊男評論 不要拒絕羊男啪啪他因為妹子拒絕啪啪 所以分手 我刪了怕誤導小姑娘 <b>在這嚴肅提醒 沒有確定關係不要啪！對他不是特別瞭解不要啪！誰知道他是不是拔屌無情男呢？</b><br>另外附上和家羊的對話<img src=""https://pic1.zhimg.com/50/0e79eee66ef1d8235d5f4f1220593874_b.png"" data-rawwidth=""339"" data-rawheight=""149"" class=""content_image"" width=""339""><br><br><br><br><br><br><br><br><br><br>———————————————更——————————————————<br>什麼樣的感覺？<br>當初就tm不應該在一起的感覺！<br><br>———————————————終結此回答——————————————<br><br>已分 <a data-hash=""09549955cd95c329e94075eb8f0edce2"" href=""http://www.zhihu.com/people/09549955cd95c329e94075eb8f0edce2"" class=""member_mention"" data-hovercard=""p$b$09549955cd95c329e94075eb8f0edce2"">@Bamjus</a><br><br><br><br><br>分了之後比較後悔<br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br>我tm怎麼沒早分呢哈哈哈哈哈哈哈哈哈哈哈哈<br>分了簡直爽<br>卸掉一個包袱的感覺",1449477650,10,5,24,19,14,183,48,145,0,0,執子閑看落花
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,"作為和三個金牛座女生談過的帥氣大白羊～<br>我覺得我可以回答這個問題，說實話，金牛女真心適合娶回家～...不過，前提是你忍得了她們的耐心...作為一隻一碰就炸毛的白羊...真心受不了金牛女讓你猜她心中的小九九，不是猜不到，是根本就不想猜，媽蛋就不能直接說你想要什麼嘛？明明大家都這麼熟了，何必還靦腆。反正我屬於白羊中特別不要臉的...所以，基本上都會直接和女票說，生日想要什麼你告訴我，我買給你...然後，然後就GG了...金牛女錶面上什麼都不說，心裡特麽都演了好幾部韓劇啦！真是不知道她們笨笨的腦子裡都在想些什麼，白羊說話有時候不過腦子...而且說完就忘...但是金牛女會記得特別清楚，結果就是她們忍了很久和你吵一架...你還不知道是為什麼...而且還不想哄她們，因為誰先哄對方，誰就輸了的心理，在白羊心中，怎麼能輸？！然後，然後也就GG了...<br>所以，題主你要是想和金牛女談一場轟轟烈烈的愛情...就要有極大的耐心...一定要再三問問她們到底生氣了木有...別等到大爆發，你又不服輸...不分手都沒辦法的地步（表示,我已經試過兩次了，你不用去證明朕是對的啦～）<br>此外，想提醒廣大金女...白羊座可能確實比較在乎感受，所以，不管發生什麼，基本上是一啪就好，如果不能接受這個，還是遠離白羊吧。<br>PS：金女的行動力真是慢到爆炸！...我就想知道有什麼好糾結的...不就點個菜....<br>嗯，差不多就這些，加油去吧～～...皮卡丘！<img data-rawwidth=""415"" data-rawheight=""415"" src=""https://pic4.zhimg.com/50/dd9256aad4323cb1c8261062a39accc7_b.jpg"" class=""content_image"" width=""415"">",1463683584,7,3,10,0,1,8,4,8,2,0,張小賤
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,白羊就是典型控制欲。各種控制你。金牛就是典型受虐心。覺得這樣就是真愛。白羊的煽情和金牛真好煽一起去了，所以愛了。白羊男也會依賴金牛女，金牛無比享受被人依賴的趕腳。。,1434364605,6,0,1,6,8,6,5,1,0,0,linda
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,"我白羊男配金牛女 真的確認想聽真實感受???那就是, 牛女好慢 有的時候真的把我急到崩潰...",1434259916,7,0,11,,,,,,,,匿名用戶
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,"白羊男……對方金牛女，<br>當天不知道怎麼回事，就想去前女友的小區坐坐（已經結婚，寶寶都有了）<br>就想過去抽根煙傷感一下………<br>看到一個姑娘坐在我以前的位置發獃<br>也沒想太多就坐到了對面，點上一根煙<br><br>開始吞雲吐霧，後來她過來借打火機<br>用完之後，就坐到旁邊長椅，沒說話<br>倆人不時有些眼神交流什麼的<br>我是屬於那種比較急性子的<br>實在忍不住了，決定過去搭訕<br><br>現在想想我搭訕方式好奇葩啊<br>過去上了一根煙！！<br>過去上了一根煙！！<br>過去上了一根煙！！<br>然後就說我搭訕沒什麼經驗<br>你多擔待，就坐到一起聊起來了<br>中間出現幾次沉默，大多數都是蠻開心的，到了十二點，送她回去，討了一個擁抱，她勉強抱了一下………<br>第三天正好路過她住的地方，叫她下樓聊天，等了半個小時才下來<br>女人啊…………<br><br>下來聊天大多數一直是我在自黑，<br>講笑話，糗事，逗她開心<br>到了十二點讓我送她回去…………<br><br><br>然後壁咚，強吻，親吻，舌吻吼吼吼<br>現在在一起三年了，還是挺幸福的<br>不好意思，強行虐狗了。。。<br><br><br>其實我想告訴你的是，別太信什麼星座<br>兩個人看對眼了，啥都擋不住啊<br>別糾結這麼多了，真誠點去接近，總比你在網上查什麼星座要，問要不要在一起好得多，勇敢的去追求，讓對方看到你的優點，最後祝你成功……<br><br><img data-rawwidth=""121"" data-rawheight=""138"" src=""https://pic1.zhimg.com/50/9a54023e05a3466a4d262332e2c54f20_b.jpeg"" class=""content_image"" width=""121"">",1458497588,5,0,4,,,,,,,,匿名用戶
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,白羊男，s向<br>金牛女，m向,1449397108,4,0,2,1,1,5,0,3,0,0,葉之行
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,我是金牛女，男票白羊男。首先說明:我們兩感覺都不是特別典型的星座人。但是我的確是金牛座比較慢熱，之前在同一家公司，差不多觀察了3年，屬於經常一起做項目加班見客戶的人。後來聽說他沒有女朋友就耿直地說有好感，能不能試試（當時我已經離開公司，現在異地中），想著反正現在大家不在一個生活圈子，如果被拒絕的話就不執著，因為自尊心比較強。<br>他就馬上答應回覆說要主動追了，大概我給他的印象也不錯。因為白羊座真的行動能力都很強，對待感情很主動，那個星期就請假過來看我，出去玩之後立刻發朋友圈跟所有人公佈戀情，看著一堆之前同事祝福的回覆，心裡會覺得很有安全感，被重視。每次出去都主動牽我，走馬路邊總是讓我走裡面，出去順手拎包，再晚也要先送我回來，都是一些小細節，但是自己覺得很幸福，也覺得自己很幸運，選擇主動走出這一步，希望彼此可以溫柔相待下去。沒有接觸過其他的白羊男，不知道其他人是不是這樣。<br>因為最開始表白的時候心裡很忐忑，上知乎找答案求安慰，後來覺得，頂著星座背景下的每個人都是獨特的個體，他的獨特，我們只有試過才知道。所以，妹子們也要勇敢一些吧！希望能有所幫助。,1457877388,3,1,1,0,0,3,2,1,0,0,阿墨呵呵噠
金牛女和白羊男談戀愛是一種怎樣的感覺？,從談戀愛之前的相處階段 到戀愛進行時 這兩個階段是怎樣的感覺？,1434244423,96,我牛女他羊男。<br>我很崇拜他，他彈琴真的太厲害了，我每次看他彈琴都說老公你好帥啊<br>但恰恰，是他追的我，因為我看起來太高冷了太高冷了<br>我們在一起很和諧，聊手機聊芯片聊電腦配置聊樂隊聊政治聊足球，總之他願意聊的，我都能插得上話，我想這也是他喜歡的原因，畢竟能和男生完全話題一致的女生，很少，而完全和我話題一致的男生，也少，我倆恰恰就是那麼正好合適<br>羊男很會關心人，很懂情趣，也是個炮機= =<br>總之和他在一起的第一天開始，我就幾乎100%確定我們真是認定了彼此。<br>PS.我在他手機上的備註是：soulmate,1468921603,3,0,1,,,,,,,,匿名用戶
